Cod_setor;Situacao_setor;V062;V063;V064;V065;V066;V067;V068;V081;V082;V083;V084;V085;V086;V087
230410315000004;8;15;31;26;12;4;5;5;2;4;1;2;2;2;1
230410315000005;8;3;5;6;4;3;3;0;0;0;0;0;0;0;0
230410317000001;1;36;49;45;20;5;9;8;11;12;5;6;0;1;10
230410317000002;8;35;49;50;30;4;6;7;8;5;3;2;0;1;4
230410317000003;8;10;23;26;14;7;7;6;7;4;1;1;0;1;3
230410320000001;1;23;31;19;10;8;7;4;33;35;38;18;12;10;9
230410320000002;8;12;16;15;12;7;3;2;2;3;0;1;2;1;1
230410320000003;1;18;20;27;11;2;2;5;4;0;2;0;0;0;2
230410320000004;5;19;23;23;16;8;3;4;11;3;3;2;0;0;6
230410320000005;5;6;18;19;11;2;3;1;3;3;5;1;1;1;5
230410320000006;8;13;23;22;16;5;10;7;7;4;2;1;1;0;0
230410320000007;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230410320000008;1;6;13;16;7;0;1;1;2;0;3;1;0;0;1
230410320000009;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230410325000001;1;5;4;0;0;0;1;0;4;0;0;2;0;0;2
230410325000002;8;8;9;2;6;0;0;2;3;6;5;2;2;1;0
230410330000001;1;15;14;26;12;4;0;8;6;9;8;0;1;0;6
230410330000002;8;14;9;13;7;4;4;14;4;2;1;0;0;0;2
230410330000003;8;26;40;23;14;11;10;7;10;9;7;2;1;2;5
230410330000004;8;1;6;1;2;1;2;0;1;0;0;0;0;0;0
230410330000005;8;6;11;15;4;1;3;1;2;0;1;1;0;1;1
230410333000001;1;44;55;52;24;9;10;12;21;6;7;9;0;2;14
230410333000002;8;10;13;11;5;1;7;6;4;3;6;2;1;1;5
230410333000003;8;23;32;36;14;10;4;6;5;5;4;0;1;0;1
230410333000004;8;11;14;18;13;3;0;9;7;9;6;4;2;1;3
230410333000005;8;37;57;51;27;19;14;9;11;15;10;4;3;2;12
230410335000001;1;15;26;37;12;7;3;8;5;5;1;2;1;0;6
230410335000002;8;22;32;39;15;7;1;4;7;6;2;0;0;1;1
230410335000003;5;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230410335000004;8;20;27;25;21;9;3;5;13;6;2;3;1;1;11
230410335000005;5;10;14;15;2;5;2;5;6;5;3;2;0;1;4
230410335000006;8;22;25;25;10;2;1;6;7;4;2;1;0;0;5
230410335000007;8;21;29;16;8;4;3;8;7;6;3;0;1;0;3
230410335000008;8;13;13;16;3;3;0;4;5;2;4;1;1;0;6
230410335000009;8;32;42;46;20;11;8;9;10;11;3;3;2;0;8
230410335000010;8;28;41;35;17;13;6;4;7;6;2;2;1;1;7
230410335000011;8;13;25;13;7;3;2;1;7;2;1;3;0;4;2
230410335000013;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230410337000001;1;14;18;12;8;1;4;4;12;21;13;6;3;1;8
230410337000002;8;14;39;26;16;3;3;11;15;18;11;9;3;6;5
230410337000003;8;25;43;32;23;2;5;3;12;8;6;0;0;1;4
230410337000004;8;10;24;18;16;3;4;0;4;2;1;0;1;0;4
230410337000005;8;6;6;3;2;1;1;6;3;3;7;3;4;1;2
230410340000001;1;22;25;21;17;10;5;17;7;10;9;4;1;1;5
230410340000002;8;13;18;22;17;8;8;3;8;9;9;2;2;1;8
230410340000003;5;18;22;14;15;6;3;1;7;8;3;1;1;0;8
230410340000004;8;19;37;24;11;5;2;5;16;5;3;3;0;0;6
230410340000005;8;1;8;6;4;1;3;2;3;6;2;1;1;1;3
230420205000001;1;7;7;4;2;0;2;9;21;16;10;3;3;1;9
230420205000002;1;11;28;14;8;4;1;22;37;36;27;8;4;2;38
230420205000003;1;31;14;15;10;2;1;19;35;16;10;5;3;1;38
230420205000004;1;20;6;3;5;1;1;27;15;12;9;4;0;1;31
230420205000005;1;16;23;24;10;3;4;10;35;29;15;13;2;0;14
230420205000006;1;10;9;9;6;2;3;16;21;13;13;7;2;6;14
230420205000007;1;23;8;12;5;0;2;1;21;19;12;4;0;0;20
230420205000008;1;13;15;12;8;2;2;3;19;19;13;9;2;3;8
230420205000009;1;19;15;19;10;5;2;10;32;40;32;15;9;3;9
230420205000010;1;25;40;30;13;4;2;11;28;24;20;9;2;2;21
230420205000011;1;21;36;43;12;11;4;7;27;15;15;4;4;3;17
230420205000012;1;18;30;24;16;5;11;11;22;16;22;7;4;8;5
230420205000013;1;12;14;14;18;5;10;7;24;29;16;20;11;9;11
230420205000014;1;16;25;32;17;10;7;8;26;25;16;8;10;6;17
230420205000015;1;17;27;40;18;4;10;18;28;24;25;11;8;10;17
230420205000016;1;14;20;18;15;5;8;3;26;17;14;11;4;11;13
230420205000017;1;11;17;15;9;4;1;16;31;18;15;9;4;3;15
230420205000018;1;13;20;16;12;7;2;9;15;28;15;15;4;5;12
230420205000019;1;25;32;27;12;5;5;11;33;36;24;15;9;10;22
230420205000020;1;16;29;25;16;9;4;8;13;16;30;14;5;7;12
230420205000021;1;33;35;40;27;8;9;6;17;29;23;8;4;2;10
230420205000022;1;11;25;23;11;6;3;2;12;16;8;7;2;1;10
230420205000023;1;10;16;10;10;2;2;10;30;30;29;16;9;2;10
230420205000024;1;19;26;16;9;5;1;14;18;14;17;6;6;4;10
230420205000025;1;20;39;34;16;9;3;14;32;31;24;9;7;6;21
230420205000026;1;20;36;48;27;4;4;7;17;21;14;6;4;5;12
230420205000027;1;37;37;33;17;3;8;12;32;29;24;14;1;3;22
230420205000028;1;10;20;19;8;3;4;6;34;31;19;13;5;6;20
230420205000029;1;11;16;22;14;0;5;4;15;14;11;8;1;4;4
230420205000030;1;17;29;30;21;15;10;15;23;28;29;12;10;8;10
230420205000031;1;12;33;26;19;10;7;5;23;32;29;18;11;11;5
230420205000032;1;20;21;22;8;4;2;16;35;28;21;11;7;5;25
230420205000033;1;15;28;33;14;7;7;11;16;24;21;13;5;6;12
230420205000034;1;16;32;28;21;7;3;14;35;36;22;27;8;9;11
230420205000035;1;8;20;19;9;4;2;9;28;27;17;10;4;7;18
230420205000036;1;15;41;42;29;10;8;7;20;31;24;11;7;12;5
230420205000037;1;10;38;40;19;10;4;8;22;29;21;20;4;9;10
230420205000038;1;9;12;13;7;2;6;7;13;29;24;14;3;4;10
230420205000039;1;15;33;26;12;4;2;11;16;15;6;2;7;2;11
230420205000040;1;31;45;40;23;7;5;8;11;14;14;4;4;3;6
230420205000041;1;9;21;21;19;4;2;4;9;9;10;2;1;0;0
230420205000042;1;17;25;54;23;14;5;7;30;33;33;16;7;10;9
230420205000043;1;28;42;20;17;8;13;13;8;15;12;8;1;7;4
230420205000044;1;23;51;35;22;1;6;9;12;27;9;10;7;6;5
230420205000045;1;20;29;42;19;9;5;16;30;25;30;14;4;4;18
230420205000046;1;20;26;25;10;7;3;10;14;17;13;5;4;2;13
230420205000047;1;13;16;24;5;2;2;3;22;16;26;8;4;3;15
230420205000048;1;12;10;21;7;2;1;7;24;34;19;13;9;8;11
230420205000049;1;14;22;20;4;5;3;8;22;27;25;14;4;3;13
230420205000050;1;15;30;40;13;6;4;6;30;32;36;9;3;9;8
230420205000051;1;22;33;33;15;3;2;12;20;24;17;9;2;2;12
230420205000052;1;12;25;27;14;5;7;8;24;24;19;12;6;5;12
230420205000053;1;30;48;33;19;9;7;15;17;25;18;13;4;5;27
230420205000054;1;17;32;30;15;8;4;9;18;17;15;6;4;2;9
230420205000055;1;15;31;30;14;5;4;7;15;23;21;15;7;9;5
230420205000056;1;11;31;36;21;3;2;3;9;12;16;2;2;1;3
230420205000057;1;16;31;33;27;12;5;13;16;29;15;9;9;7;7
230420205000058;2;31;51;39;36;19;26;12;20;28;29;27;17;21;5
230420205000059;1;8;28;17;19;8;11;8;11;14;9;6;2;5;3
230420205000060;1;11;15;23;16;7;3;0;4;7;5;3;4;5;1
230420205000061;1;26;45;29;23;5;10;15;17;13;18;21;5;4;5
230420205000062;1;16;44;44;33;11;9;6;8;6;7;4;3;3;6
230420205000063;1;23;36;40;20;4;7;9;8;10;13;8;6;3;6
230420205000064;1;11;5;7;10;2;1;4;6;8;7;4;0;1;7
230420205000065;1;38;30;43;24;7;10;22;46;33;26;10;5;9;9
230420205000066;1;8;9;13;7;5;4;7;7;9;15;7;5;9;2
230420205000067;1;2;10;4;8;1;2;1;4;7;1;1;0;2;0
230420205000068;2;6;3;4;0;0;1;1;1;1;0;1;1;0;0
230420205000069;1;11;12;6;6;10;2;15;22;24;33;8;12;18;5
230420205000070;1;11;18;19;11;6;7;20;46;53;35;25;7;13;11
230420205000071;1;12;12;26;23;10;5;8;9;8;9;8;5;3;5
230420205000072;1;19;25;47;17;5;10;13;21;19;20;5;9;10;11
230420205000073;2;29;27;18;13;6;4;12;11;25;28;19;15;12;5
230420205000074;2;28;41;46;33;13;8;13;23;23;16;14;6;2;12
230420205000075;1;20;44;56;22;15;6;15;13;19;24;12;6;9;11
230420205000076;1;35;46;35;25;14;9;10;24;24;21;6;3;9;14
230420205000077;2;11;22;21;22;7;14;11;10;16;6;4;2;5;9
230420205000078;1;29;31;32;22;12;0;5;17;16;15;6;8;5;9
230420205000079;1;25;56;59;34;22;20;15;22;14;10;6;2;7;8
230420205000080;1;12;9;11;10;0;1;5;3;8;6;9;0;0;1
230420205000081;1;26;44;43;16;10;8;15;10;14;12;7;4;3;9
230420205000082;2;6;7;11;9;4;2;1;5;1;4;2;2;1;1
230420205000083;2;30;34;40;22;6;10;12;21;20;10;9;8;8;7
230420205000084;1;23;31;28;16;9;2;7;42;51;44;28;6;10;13
230420205000085;1;11;21;17;10;5;8;11;35;39;52;30;16;14;9
230420205000086;1;15;28;29;16;7;4;6;14;25;15;11;6;4;6
230420205000087;1;24;37;41;28;13;6;8;7;19;12;7;5;0;3
230420205000088;1;25;43;28;22;13;11;10;15;31;23;24;11;4;3
230420205000089;1;32;60;67;28;10;4;8;45;36;26;9;5;3;9
230420205000090;1;48;88;82;49;28;16;38;56;92;68;48;11;24;23
230420205000091;1;39;49;76;31;10;6;15;30;18;13;15;7;4;15
230420205000092;1;2;1;6;6;3;5;2;2;3;6;3;1;0;5
230420205000093;1;13;3;16;6;2;0;6;10;18;13;7;3;3;13
230420205000094;1;12;13;8;5;0;2;17;18;21;9;4;1;0;21
230420205000095;1;8;12;21;4;3;2;5;24;35;32;21;5;7;9
230420205000096;1;19;30;29;10;5;6;6;14;20;19;13;3;4;6
230420205000097;1;21;30;52;19;4;1;7;32;27;14;9;6;2;8
230420205000098;1;12;25;9;11;5;0;5;30;25;21;5;7;3;22
230420205000099;1;21;17;11;7;3;0;12;31;17;7;9;1;2;20
230420205000100;1;17;25;31;11;7;8;19;24;24;21;15;6;6;24
230420205000101;1;14;17;16;5;0;0;9;23;27;26;15;8;7;15
230420205000102;1;22;31;25;9;1;4;32;19;11;8;3;1;1;16
230420205000103;1;19;18;22;22;5;1;19;20;20;15;6;7;3;21
230420205000104;1;10;17;19;3;3;2;11;40;33;34;14;6;6;16
230420205000105;1;15;20;19;11;9;2;5;20;17;20;10;8;5;11
230420205000106;1;13;21;23;6;1;5;11;16;16;12;10;5;3;5
230420205000107;1;5;23;28;7;2;3;11;32;21;17;9;2;4;23
230420205000108;1;16;21;25;16;4;5;5;19;19;19;9;7;3;16
230420205000109;1;9;22;25;17;4;6;5;10;17;8;10;1;3;3
230420205000110;1;8;14;18;11;2;1;9;18;12;20;18;2;2;8
230420205000111;1;10;24;18;9;4;1;8;20;11;7;6;1;1;8
230420205000112;1;21;34;29;14;9;5;8;22;25;11;4;4;6;5
230420205000113;2;20;46;43;26;15;6;8;16;25;21;9;3;4;6
230420205000114;1;14;20;21;9;4;5;6;14;12;9;15;6;2;7
230420205000115;1;16;38;39;15;8;3;7;16;22;17;5;2;0;11
230420205000116;1;13;28;27;22;8;4;9;20;26;17;13;3;9;17
230420205000117;1;23;29;36;15;13;2;13;36;36;27;17;10;5;16
230420205000118;1;15;24;11;13;6;2;7;29;48;37;19;6;9;10
230420205000119;1;10;16;19;21;6;5;18;20;11;12;5;1;6;4
230420205000120;2;31;26;21;20;17;12;9;19;18;21;7;5;9;13
230420205000121;1;19;27;31;23;11;5;4;5;14;11;5;3;7;6
230420205000122;1;15;41;25;21;5;12;8;14;31;16;15;8;9;14
230420205000123;1;16;30;16;13;6;7;9;15;15;16;8;6;5;5
230420205000124;2;18;39;53;20;10;9;5;21;19;20;12;4;3;6
230420205000125;1;20;45;45;28;17;7;6;18;24;12;11;4;11;9
230420205000126;1;21;42;45;21;7;13;11;25;26;14;13;8;4;11
230420205000127;2;14;25;32;18;18;10;3;11;16;8;3;5;5;4
230420205000128;1;9;31;20;16;7;6;2;15;7;7;5;0;2;4
230420205000129;1;7;12;25;5;7;4;3;25;30;24;19;6;5;17
230420205000130;1;27;25;37;19;3;4;5;27;22;12;7;3;1;10
230420205000131;1;9;11;20;8;4;4;7;13;11;4;7;2;5;9
230420206000001;1;24;29;23;24;11;8;8;11;9;10;8;1;0;1
230420206000002;8;17;37;20;15;6;15;6;11;11;10;6;3;3;1
230420206000003;8;9;22;22;13;9;12;6;8;10;10;6;4;6;4
230420206000004;8;8;21;11;11;8;10;5;5;1;3;5;2;2;0
230420206000005;8;1;2;2;2;1;2;1;1;5;1;1;0;2;1
230420206000006;8;1;3;3;2;0;0;5;2;3;3;4;1;1;1
230420207000001;1;30;50;68;39;15;15;9;17;14;18;6;10;4;7
230420207000002;8;11;10;14;11;4;6;5;2;6;5;5;2;2;2
230420207000003;8;5;13;9;10;6;7;3;1;2;0;1;1;1;2
230420209000001;1;3;12;16;9;4;2;3;4;1;3;1;2;2;2
230420209000002;8;47;68;85;60;30;35;26;19;20;17;8;2;11;18
230420210000001;1;48;59;35;31;16;8;21;27;19;5;4;6;3;21
230420210000002;8;8;6;7;3;3;2;3;2;1;2;0;0;0;1
230420210000003;8;14;10;17;13;6;2;4;0;2;1;2;1;0;5
230420210000004;8;28;27;28;16;4;5;16;13;13;5;4;1;1;3
230420210000005;1;13;21;24;14;7;4;4;12;8;7;4;1;1;8
230420210000006;8;5;4;5;1;2;2;2;1;6;0;1;1;0;3
230420218000001;1;18;21;15;14;6;3;11;18;16;14;13;7;7;9
230420218000002;8;15;13;17;22;17;12;8;3;4;4;3;2;4;8
230420218000003;8;44;42;46;25;14;27;15;14;23;9;9;3;5;13
230420218000004;8;0;2;2;0;0;1;1;1;1;1;1;1;1;2
230420218000005;8;0;2;2;1;2;3;2;0;0;0;0;0;0;0
230420222000001;1;27;56;65;39;10;11;7;13;11;4;5;8;7;10
230420222000002;8;16;25;36;22;9;11;14;19;26;23;17;14;9;6
230420222000003;8;17;29;22;19;11;12;10;6;7;7;5;3;2;3
230420225000001;1;42;42;40;32;14;15;15;24;19;25;13;4;2;14
230420225000002;8;5;6;7;7;1;7;5;6;8;4;3;0;1;3
230420225000003;8;15;14;15;8;6;8;8;7;5;3;5;4;3;7
230420225000004;8;25;30;26;21;7;17;10;13;14;11;5;5;1;11
230420225000005;8;19;32;26;29;14;21;10;11;8;4;4;2;4;12
230420225000006;8;6;5;6;2;0;1;3;7;7;14;4;2;2;3
230420225000007;8;12;17;15;22;11;5;16;14;12;11;12;8;6;9
230420225000008;5;20;31;32;13;1;3;11;7;7;3;2;3;0;6
230420225000009;5;6;19;14;15;6;7;10;22;17;23;18;7;10;11
230420225000010;5;30;57;55;29;18;13;12;32;24;12;10;4;4;10
230420225000011;5;11;17;20;12;6;5;14;19;12;16;12;3;6;2
230420225000012;1;32;47;42;13;10;10;8;23;14;16;9;1;0;12
230420225000013;8;6;5;4;3;1;0;2;7;2;0;0;0;2;1
230420225000014;8;11;16;16;11;7;5;11;11;10;10;6;3;4;2
230420225000015;8;20;27;15;23;10;12;14;11;9;6;4;5;4;5
230420225000016;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230420225000017;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230420230000001;1;7;10;14;9;5;2;9;17;24;10;9;5;6;9
230420230000002;8;22;27;21;26;19;17;17;16;17;22;11;1;10;16
230420230000003;8;19;15;33;25;9;11;16;13;3;7;3;1;4;7
230420230000004;8;12;17;15;9;6;7;4;3;2;2;1;3;0;1
230420230000005;8;17;17;15;16;4;0;15;15;16;4;7;2;7;3
230420230000006;8;11;16;19;10;5;8;3;12;8;3;5;4;3;3
230420230000007;8;13;32;31;23;24;37;18;10;12;9;4;7;5;2
230420240000001;1;2;12;6;5;6;3;7;8;2;2;5;0;2;5
230420240000002;8;23;51;56;41;11;10;9;21;14;10;15;3;4;6
230423605000001;1;23;26;20;10;6;4;15;32;15;19;11;2;3;20
230423605000002;1;17;25;19;15;5;5;10;18;25;26;12;6;9;14
230423605000003;1;27;39;36;17;4;3;13;24;25;15;5;4;4;10
230423605000004;1;20;18;19;10;4;5;12;45;48;23;20;12;10;15
230423605000005;8;3;2;0;1;1;0;0;2;0;0;0;0;0;0
230423605000006;8;6;8;11;2;2;4;6;8;12;12;9;1;6;6
230423605000007;1;1;2;1;1;1;2;1;1;5;4;6;5;2;2
230423605000008;8;2;2;1;1;0;1;1;3;0;0;0;0;0;0
230423605000009;8;16;35;21;16;8;4;12;8;8;3;1;2;1;4
230423605000010;1;12;19;12;6;3;4;8;32;31;31;12;4;6;17
230423605000011;1;28;30;21;16;2;6;11;28;15;8;5;4;1;12
230423605000012;1;4;1;3;1;0;1;0;0;1;1;0;0;1;1
230423605000013;1;0;4;1;4;0;2;0;2;0;0;0;0;0;0
230423605000014;1;1;1;1;0;0;0;0;2;4;0;3;0;0;0
230423605000015;1;1;0;0;0;0;0;0;3;0;2;2;1;1;1
230423605000016;1;18;14;14;8;2;2;6;18;28;26;20;6;9;7
230423610000001;1;20;11;6;6;3;0;11;25;32;22;11;12;2;11
230423610000002;8;17;11;13;7;6;9;13;17;16;14;10;5;13;6
230423610000003;8;30;41;25;19;7;9;10;15;11;2;3;2;2;6
230423620000001;1;26;41;35;16;8;10;6;18;16;4;1;0;1;8
230423620000002;8;18;19;9;7;2;1;6;26;33;27;16;3;8;9
230423620000003;8;26;30;14;17;4;4;10;17;29;31;16;9;6;12
230423620000004;1;26;37;34;19;5;7;9;19;8;20;10;2;2;16
230423625000001;1;8;13;18;12;3;3;1;9;11;0;2;0;0;2
230423625000002;8;6;3;11;6;4;2;3;7;11;10;7;1;2;6
230423625000003;8;6;11;9;6;1;2;3;2;1;0;2;1;0;2
230423625000004;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230423625000005;8;11;11;13;8;6;3;4;4;6;3;0;0;1;9
230423625000006;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230423625000007;8;3;2;4;2;1;0;1;1;1;0;0;1;0;0
230423635000001;1;9;19;23;9;7;3;4;7;5;7;6;4;0;8
230423635000002;8;7;6;5;4;2;1;7;18;15;14;12;3;4;2
230423635000003;8;2;6;5;5;6;5;1;4;3;0;0;0;0;1
230423640000001;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230423640000002;8;6;7;4;7;3;6;4;11;8;22;10;11;25;1
230423640000003;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
230423645000001;1;8;9;10;3;8;5;1;5;5;5;2;0;1;2
230423645000002;8;21;46;40;19;11;17;6;14;10;6;7;1;3;6
230423645000003;8;7;6;5;4;3;2;3;3;4;2;0;0;0;0
230423645000004;8;14;13;12;9;6;4;2;2;3;2;2;1;0;4
230423650000001;1;12;15;17;12;6;5;5;14;13;4;3;2;2;10
230423650000002;8;4;5;3;3;0;3;4;4;2;1;3;0;3;1
230423650000003;8;30;34;29;15;4;1;6;20;16;10;5;1;1;6
230423650000004;8;11;25;12;8;3;1;8;7;2;2;3;2;1;4
230423650000005;8;3;8;5;2;5;2;6;13;14;17;8;8;4;4
230425105000001;1;22;38;30;11;7;7;9;20;16;10;13;7;2;11
230425105000002;1;19;25;26;6;5;0;16;20;19;16;2;1;2;18
230425105000003;1;12;15;12;1;2;3;2;9;4;1;2;0;2;6
230425105000004;1;25;29;29;17;5;5;14;26;33;10;6;2;1;10
230425105000005;1;36;49;44;21;6;9;17;26;36;19;6;6;4;12
230425105000006;1;29;38;35;19;5;2;7;36;29;20;3;4;2;14
230425105000007;2;24;34;41;25;16;11;20;18;13;12;11;2;2;8
230425105000008;8;24;47;37;30;15;14;7;5;8;4;4;2;1;4
230425105000009;8;25;32;43;24;12;18;13;9;6;6;5;5;2;4
230425105000010;5;13;16;6;8;3;3;7;7;11;2;1;0;0;6
230425105000011;8;22;38;41;23;13;19;6;12;11;8;3;3;4;3
230425105000012;5;8;11;17;6;3;1;5;7;1;0;0;0;1;3
230425105000013;8;7;13;4;8;8;9;1;4;3;3;1;1;0;1
230425105000014;8;29;39;29;15;16;15;3;5;4;5;2;2;1;3
230425105000015;8;16;29;28;17;4;3;15;8;13;7;6;2;3;5
230425105000016;8;26;27;21;14;2;9;5;7;4;0;0;0;2;1
230425105000017;8;22;28;16;13;2;6;10;9;2;2;0;0;1;5
230425105000018;8;15;22;34;21;14;14;8;12;17;7;7;5;2;4
230425105000019;8;8;6;11;8;2;2;5;5;9;6;6;3;5;2
230425105000020;1;12;16;28;8;7;8;7;7;11;14;6;3;5;4
230425105000021;1;25;34;27;15;5;0;13;28;23;13;3;0;0;21
230425105000022;1;21;25;21;5;5;3;12;11;18;19;8;5;3;8
230425105000023;1;16;36;22;11;7;10;7;14;17;9;5;6;3;7
230425105000024;1;13;20;21;18;7;6;10;16;12;12;3;0;1;5
230425105000025;1;27;53;26;26;9;16;15;22;29;13;10;1;6;9
230425105000026;2;17;27;28;12;18;6;9;27;8;8;8;4;2;12
230425105000027;8;6;7;13;8;2;3;2;2;2;3;1;0;3;1
230425105000028;8;22;26;26;14;13;7;5;8;1;4;2;0;2;5
230425105000029;8;22;16;18;20;4;9;4;9;8;4;1;1;2;2
230425105000030;8;18;38;33;23;9;19;5;9;8;3;5;2;3;4
230425105000031;8;20;23;21;16;6;17;4;2;5;4;2;1;0;1
230425105000032;8;32;36;18;14;8;2;10;7;10;10;1;3;0;6
230425110000001;1;2;7;6;2;1;0;2;11;15;14;10;4;4;3
230425110000002;8;33;61;55;37;15;29;17;10;23;20;22;9;14;7
230425110000003;8;11;16;10;12;2;7;6;5;8;8;4;5;9;1
230425110000004;5;9;16;17;8;4;11;2;6;0;1;3;1;0;4
230425110000007;1;4;6;5;0;1;0;3;8;6;8;1;3;2;6
230425110000008;8;13;2;6;1;1;3;1;1;1;1;1;0;1;0
230425110000009;5;36;55;59;36;22;22;24;24;22;14;19;9;15;12
230426905000001;1;24;17;50;28;3;2;7;14;23;23;11;2;3;16
230426905000002;1;2;6;5;2;0;0;0;3;4;1;2;1;1;0
230426905000003;1;8;8;12;3;0;2;1;3;3;3;1;0;0;2
230426905000004;8;16;11;11;1;8;4;6;5;7;3;1;3;1;5
230426905000005;8;14;30;19;21;6;5;11;5;4;5;1;1;1;11
230426905000006;8;11;21;25;10;9;8;5;5;9;9;2;0;3;3
230426905000007;8;14;20;17;10;7;1;7;5;3;4;4;0;4;4
230426905000008;8;16;30;27;13;7;2;7;3;6;6;0;2;0;8
230426905000009;1;25;29;28;12;7;2;16;21;25;13;7;3;4;21
230426906000001;1;16;17;16;6;5;1;3;5;1;1;3;0;0;6
230426906000002;8;16;23;26;15;6;1;6;8;4;1;0;1;0;1
230426907000001;1;28;37;27;8;3;0;18;27;13;7;4;0;0;11
230426907000002;8;20;19;27;12;9;3;10;5;6;2;3;0;2;3
230426907000003;8;25;32;28;18;6;4;10;13;8;3;3;2;0;5
230426907000004;8;20;21;23;6;1;7;7;5;6;4;3;2;0;9
230426910000001;1;40;49;29;9;3;1;13;21;15;11;4;0;3;13
230426910000002;8;7;17;13;8;5;0;2;4;2;2;0;0;1;1
230426910000003;8;2;12;13;16;9;6;2;11;4;5;0;0;2;2
230426910000004;8;2;6;11;1;3;0;4;5;7;1;1;0;1;1
230426910000005;1;43;54;42;20;6;4;21;25;21;12;6;3;1;14
230426920000001;1;6;7;9;0;3;0;2;5;2;0;0;0;0;2
230426920000002;8;14;25;18;9;5;2;10;5;3;4;0;0;0;3
230426925000001;1;3;9;2;4;2;1;2;2;2;1;1;1;1;2
230426925000002;8;13;17;17;6;1;1;9;6;5;4;4;1;1;3
230427705000001;1;10;16;12;1;1;1;6;8;10;7;5;6;2;10
230427705000002;1;12;30;13;7;4;3;4;25;23;16;9;1;1;9
230427705000003;1;13;14;16;8;4;1;1;8;18;8;4;1;3;6
230427705000004;1;5;4;6;3;0;0;0;5;4;3;0;0;0;4
230427705000005;1;17;20;14;4;2;5;11;23;27;19;7;7;5;8
230427705000006;1;5;21;11;2;1;2;0;8;10;6;3;2;2;5
230427705000007;1;16;28;23;12;6;5;4;14;17;21;11;7;8;2
230427705000008;8;17;31;34;18;10;8;8;8;1;0;1;0;1;5
230427705000009;8;24;26;28;19;8;9;6;4;7;8;1;1;3;2
230427705000010;8;14;18;12;16;5;10;3;5;6;4;3;0;3;0
230427705000011;8;7;12;15;6;4;4;7;22;41;32;18;9;4;3
230427705000012;8;4;12;13;8;0;3;4;2;3;1;2;1;0;0
230427705000017;8;9;14;11;4;3;2;4;4;4;7;1;2;0;2
230427705000019;8;9;16;13;5;5;2;4;3;11;5;0;1;0;1
230427720000001;1;18;23;17;11;1;3;7;3;5;2;2;1;1;2
230427720000002;8;3;7;3;10;5;1;3;1;1;0;0;1;2;1
230427725000001;1;7;13;6;5;6;6;2;8;9;6;9;4;3;6
230427725000002;8;11;8;5;9;6;13;4;8;5;4;4;1;5;0
230428505000001;1;31;41;41;23;7;5;18;34;26;28;15;7;5;8
230428505000002;1;14;24;26;9;3;4;10;13;22;23;15;9;9;6
230428505000003;1;28;34;37;18;11;9;17;21;37;30;9;6;6;7
230428505000004;1;41;49;62;37;16;9;16;19;24;18;11;1;6;6
230428505000005;1;26;28;25;16;6;4;9;6;4;2;6;3;5;5
230428505000006;1;48;69;49;30;13;10;26;15;22;20;6;4;4;12
230428505000007;1;36;44;47;25;10;7;18;28;21;16;9;6;5;6
230428505000008;1;20;40;35;12;3;6;7;28;22;25;16;8;7;8
230428505000009;1;12;20;24;7;5;8;8;6;11;10;9;4;3;1
230428505000010;1;24;41;57;18;12;16;7;22;43;39;21;16;13;10
230428505000011;1;38;60;42;27;7;6;17;14;28;18;8;4;2;19
230428505000012;1;32;49;52;18;11;6;18;21;14;10;9;4;3;7
230428505000013;1;29;49;47;36;12;9;17;25;24;22;18;7;3;11
230428505000014;1;49;82;69;32;16;12;25;28;33;26;29;12;11;4
230428505000015;1;30;36;39;20;5;6;8;8;8;6;2;3;4;1
230428505000016;2;20;23;24;11;8;3;19;15;26;22;12;11;3;2
230428505000017;1;30;39;36;16;10;5;12;26;50;37;22;5;12;3
230428505000018;1;13;13;15;9;2;8;5;3;7;4;3;3;2;2
230428505000019;1;41;43;56;39;18;9;9;24;25;24;7;7;7;5
230428505000020;1;26;51;44;27;9;10;12;12;10;8;1;2;3;7
230428505000021;1;27;34;42;18;15;7;7;13;22;12;9;3;5;10
230428505000022;1;26;49;40;29;7;9;21;18;12;9;4;1;3;8
230428505000023;1;21;32;25;22;10;14;10;14;22;6;6;5;6;8
230428505000024;1;23;15;26;16;4;3;14;19;31;29;11;5;6;10
230428505000025;1;34;43;36;29;7;17;17;27;29;15;19;10;8;6
230428505000026;1;28;40;36;22;8;7;23;10;13;11;4;3;1;4
230428505000027;1;29;56;43;29;14;9;18;8;11;9;3;2;6;5
230428505000028;1;19;31;34;29;8;17;12;19;18;20;9;6;5;5
230428505000029;1;13;34;38;24;9;9;6;10;11;5;3;1;2;7
230428505000030;2;15;27;28;10;8;4;10;9;10;12;6;2;0;5
230428505000031;1;46;30;31;10;8;7;14;16;14;11;9;5;1;10
