,Cod_setor,Situacao_setor,V062,V063,V064,V065,V066,V067,V068,V081,V082,V083,V084,V085,V086,V087,qtdM,qtdH,Predominancia
1,230440005060753,1,22,29,21,21,9,8,5,15,21,13,8,2,9,6,74,115,Homem
2,230440005060754,1,36,60,56,29,7,9,12,43,40,33,20,10,11,22,179,209,Homem
3,230440005060755,1,38,75,56,34,14,12,20,27,44,25,25,10,8,11,150,249,Homem
4,230440005060756,1,37,50,50,19,5,6,11,22,26,19,10,4,6,19,106,178,Homem
5,230440005060757,1,35,54,45,19,4,7,5,23,56,22,9,6,4,16,136,169,Homem
6,230440005060758,1,41,28,38,11,3,5,13,24,18,7,4,4,2,14,73,139,Homem
7,230440005060759,1,19,35,35,15,7,5,15,37,28,22,9,6,2,12,116,131,Homem
8,230440005060760,1,32,33,29,12,5,5,4,29,25,11,10,4,12,12,103,120,Homem
9,230440005060761,1,20,28,24,18,7,4,22,57,79,49,29,14,8,17,253,123,Mulher
10,230440005060762,1,19,29,29,17,8,9,5,21,19,18,11,2,5,7,83,116,Homem
11,230440005060763,1,15,31,25,9,2,4,6,24,42,23,9,5,3,10,116,92,Mulher
12,230440005060764,1,13,23,18,6,7,7,3,7,5,6,5,2,0,9,34,77,Homem
13,230440005060765,1,16,25,22,8,4,3,9,16,17,13,5,4,2,7,64,87,Homem
14,230440005060766,1,24,23,37,20,6,7,11,31,29,25,18,17,10,11,141,128,Mulher
15,230440005060767,1,24,34,35,15,7,3,6,24,25,18,9,1,5,12,94,124,Homem
16,230440005060768,1,21,52,58,29,10,4,10,36,28,22,17,10,9,14,136,184,Homem
17,230440005060769,1,13,29,32,19,10,6,8,19,15,13,6,8,2,9,72,117,Homem
18,230440005060770,1,21,37,33,20,5,3,12,27,23,23,20,6,8,17,124,131,Homem
19,230440005060771,1,18,33,29,12,8,8,10,20,19,22,7,5,11,14,98,118,Homem
20,230440005060772,1,27,37,27,12,11,2,16,42,39,36,23,13,6,13,172,132,Mulher
21,230440005060773,1,19,7,13,4,3,1,20,24,41,29,21,5,4,14,138,67,Mulher
22,230440005060774,1,11,20,18,3,1,2,4,19,33,36,16,10,7,10,131,59,Mulher
23,230440005060775,1,21,49,48,20,14,5,3,20,28,23,9,4,7,7,98,160,Homem
24,230440005060776,1,16,31,37,16,5,5,3,19,12,18,5,3,5,10,72,113,Homem
25,230440005060777,1,12,20,26,16,6,7,3,15,22,13,9,2,5,9,75,90,Homem
26,230440005060778,1,21,33,39,15,8,4,9,16,14,10,5,4,1,10,60,129,Homem
27,230440005060779,1,22,60,38,14,9,6,8,23,22,17,9,2,4,13,90,157,Homem
28,230440005060780,1,8,27,21,10,4,5,5,14,18,20,23,2,7,4,88,80,Mulher
29,230440005060781,1,9,14,19,9,3,3,3,16,14,21,10,5,6,10,82,60,Mulher
30,230440005060782,1,25,29,48,39,14,15,18,29,31,31,16,8,6,13,134,188,Homem
31,230440005060783,1,23,59,37,12,5,4,13,20,30,19,8,8,5,15,105,153,Homem
32,230440005060784,1,7,21,10,5,2,6,2,10,27,27,11,2,5,6,88,53,Mulher
33,230440005060785,1,17,26,32,11,7,7,8,20,38,36,35,8,9,6,152,108,Mulher
34,230440005060786,1,13,15,14,5,2,4,11,24,49,38,25,12,8,10,166,64,Mulher
35,230440005060787,1,33,28,32,23,8,8,12,6,13,16,7,2,2,5,51,144,Homem
36,230440005060788,1,29,38,45,27,17,5,8,22,35,24,12,4,6,11,114,169,Homem
37,230440005060789,1,17,20,25,11,3,3,5,23,26,24,18,8,4,8,111,84,Mulher
38,230440005060790,1,22,42,47,26,4,11,10,29,43,26,15,11,6,10,140,162,Homem
39,230440005060791,1,17,28,27,15,9,2,7,23,18,8,8,1,4,8,70,105,Homem
40,230440005060792,1,38,41,34,18,7,5,23,34,25,18,15,9,4,12,117,166,Homem
41,230440005060793,1,18,20,10,6,3,3,14,13,15,20,8,5,8,7,76,74,Mulher
42,230440005060794,1,26,28,26,12,3,5,10,28,31,16,25,10,7,12,129,110,Mulher
43,230440005060795,1,17,14,24,9,1,2,8,17,23,20,5,4,0,6,75,75,Mulher
44,230440005060796,1,24,38,35,19,10,6,8,19,15,17,18,3,3,12,87,140,Homem
45,230440005060797,1,22,24,25,9,4,7,17,31,34,34,24,7,7,26,163,108,Mulher
46,230440005060798,1,34,47,33,8,4,4,15,33,31,31,19,7,11,17,149,145,Mulher
47,230440005060799,1,22,28,23,5,5,6,10,24,24,18,12,3,6,7,94,99,Homem
48,230440005060800,1,27,36,33,15,5,3,10,22,23,15,6,4,5,7,82,129,Homem
49,230440005060801,1,37,62,32,28,8,6,21,33,49,28,13,10,13,16,162,194,Homem
50,230440005060802,1,22,54,36,14,13,8,15,27,18,19,10,5,2,15,96,162,Homem
51,230440005060803,1,33,47,34,15,7,3,8,32,24,13,13,11,6,10,109,147,Homem
52,230440005060804,1,27,29,28,7,4,7,20,27,34,21,13,6,5,5,111,122,Homem
53,230440005060805,1,14,25,20,11,9,11,11,15,13,22,3,3,7,7,70,101,Homem
54,230440005060806,1,39,50,42,26,14,14,26,20,26,22,19,6,8,7,108,211,Homem
55,230440005060877,1,19,33,29,19,8,3,12,14,17,14,7,5,7,14,78,123,Homem
56,230440005060878,1,17,26,22,12,6,7,11,21,14,9,8,9,4,7,72,101,Homem
57,230440005060879,1,16,19,19,8,5,5,8,22,15,7,9,4,6,9,72,80,Homem
58,230440005060880,1,22,20,18,8,5,3,10,18,42,39,19,11,6,1,136,86,Mulher
59,230440005060881,1,17,47,37,19,5,11,11,25,20,21,17,3,9,5,100,147,Homem
60,230440005060882,1,14,34,53,22,6,5,0,12,19,8,5,2,5,10,61,134,Homem
61,230440005060883,1,12,24,22,13,8,3,11,20,28,23,12,5,2,9,99,93,Mulher
62,230440005060884,1,27,37,32,29,6,5,5,15,29,19,13,5,6,6,93,141,Homem
63,230440005060885,1,22,28,47,31,12,5,8,22,19,18,14,8,15,6,102,153,Homem
64,230440005060886,1,26,43,37,22,7,8,18,25,48,30,35,10,11,12,171,161,Mulher
65,230440005060887,1,14,33,32,22,7,11,5,22,25,20,18,8,11,8,112,124,Homem
66,230440005060888,1,16,27,31,22,5,5,1,20,39,22,25,9,21,7,143,107,Mulher
67,230440005060889,1,37,56,66,33,12,10,21,50,49,60,31,16,13,15,234,235,Homem
68,230440005060890,1,33,60,48,16,12,7,19,18,26,27,17,12,12,10,122,195,Homem
69,230440005060891,1,16,11,11,13,5,5,11,20,36,27,12,6,2,4,107,72,Mulher
70,230440005060892,1,18,22,19,7,2,3,12,19,31,24,16,10,10,5,115,83,Mulher
71,230440005060893,1,31,31,27,18,7,6,21,16,16,15,8,9,7,0,71,141,Homem
72,230440005060894,1,14,14,14,7,3,7,15,23,32,22,21,12,13,12,135,74,Mulher
73,230440005060895,1,13,15,18,8,3,1,10,17,27,45,25,8,11,11,144,68,Mulher
74,230440005060896,1,31,34,32,8,6,1,15,24,52,35,25,10,11,10,167,127,Mulher
75,230440005060897,1,8,14,31,11,4,5,5,16,23,17,15,6,11,9,97,78,Mulher
76,230440005060898,1,35,33,35,18,9,8,8,20,26,23,16,4,5,7,101,146,Homem
77,230440005060899,1,36,41,49,23,5,6,6,31,67,52,18,13,13,10,204,166,Mulher
78,230440005060900,1,56,61,21,5,0,0,19,45,34,11,3,0,0,24,117,162,Homem
79,230440005060901,1,28,34,25,12,2,5,15,29,36,25,15,9,12,10,136,121,Mulher
80,230440005060902,1,26,46,43,17,9,1,6,17,32,7,6,2,2,14,80,148,Homem
81,230440005060903,1,28,45,27,23,5,8,9,45,51,29,24,8,7,17,181,145,Mulher
82,230440005060904,1,21,24,26,10,3,3,6,15,23,18,11,7,3,8,85,93,Homem
83,230440005060905,1,21,23,23,15,4,4,9,20,16,9,10,5,2,8,70,99,Homem
84,230440005060906,1,17,30,35,17,13,8,13,27,33,28,23,7,7,8,133,133,Mulher
85,230440005060907,1,13,36,22,9,6,3,9,23,13,15,6,2,4,7,70,98,Homem
86,230440005060908,1,23,32,47,21,10,3,7,27,29,29,26,15,14,4,144,143,Mulher
87,230440005060909,1,19,36,45,18,13,10,16,36,50,35,18,17,17,8,181,157,Mulher
88,230440005060910,1,16,19,22,15,8,4,9,40,47,35,19,11,13,12,177,93,Mulher
89,230440005060911,1,18,44,32,24,5,7,11,13,21,22,9,7,8,12,92,141,Homem
90,230440005060994,1,17,31,20,13,5,6,18,38,31,29,23,11,7,10,149,110,Mulher
91,230440005070030,1,21,33,34,13,5,2,11,23,26,18,12,8,8,23,118,119,Homem
92,230440005070031,1,18,18,24,12,8,7,17,22,17,11,11,4,4,6,75,104,Homem
93,230440005070032,1,29,34,35,14,8,9,22,29,27,13,9,5,5,34,122,151,Homem
94,230440005070033,1,11,18,19,3,2,3,7,20,12,11,5,5,5,7,65,63,Mulher
95,230440005070034,1,28,20,26,11,8,6,10,26,24,33,16,2,5,8,114,109,Mulher
96,230440005070035,1,20,43,29,22,10,11,10,30,34,28,11,9,12,12,136,145,Homem
97,230440005070036,1,14,20,17,7,4,4,3,30,36,20,9,2,8,13,118,69,Mulher
98,230440005070037,1,18,17,17,4,7,2,17,32,39,20,13,5,5,14,128,82,Mulher
99,230440005070038,1,21,30,24,8,6,2,3,21,17,16,9,3,4,5,75,94,Homem
100,230440005070039,1,20,23,31,9,4,0,9,31,25,18,6,3,0,18,101,96,Mulher
101,230440005070040,1,39,35,16,9,1,4,21,60,43,33,15,6,7,24,188,125,Mulher
102,230440005070041,1,4,18,23,10,5,4,7,12,28,15,9,6,4,4,78,71,Mulher
103,230440005070042,1,24,33,18,19,2,2,14,24,25,15,14,4,7,19,108,112,Homem
104,230440005070043,1,22,14,16,7,6,0,14,32,29,26,8,6,4,20,125,79,Mulher
105,230440005070044,1,22,24,30,13,3,5,5,24,20,20,9,3,3,12,91,102,Homem
106,230440005070045,1,1,4,6,2,2,0,2,5,2,2,2,2,6,4,23,17,Mulher
107,230440005070046,1,20,30,20,18,3,6,8,39,29,21,14,9,3,16,131,105,Mulher
108,230440005070047,1,36,53,49,25,5,7,15,51,26,19,17,4,4,18,139,190,Homem
109,230440005070048,1,21,30,22,12,9,5,3,18,37,14,7,1,2,4,83,102,Homem
110,230440005070049,1,33,51,42,19,5,4,22,45,43,31,14,3,3,24,163,176,Homem
111,230440005070050,1,40,48,40,22,2,1,13,58,37,28,8,5,2,30,168,166,Mulher
112,230440005070051,1,25,30,17,11,6,2,14,31,24,15,8,2,5,10,95,105,Homem
113,230440005070052,1,26,21,21,11,4,2,17,28,37,19,14,12,12,11,133,102,Mulher
114,230440005070053,1,29,50,43,22,11,5,29,36,48,23,18,11,7,17,160,189,Homem
115,230440005070054,1,18,21,19,10,2,2,13,34,30,23,7,3,5,13,115,85,Mulher
116,230440005070055,1,12,18,16,11,4,3,7,9,9,9,3,6,4,7,47,71,Homem
117,230440005070056,1,6,35,38,17,3,6,1,6,14,20,17,3,9,4,73,106,Homem
118,230440005070057,1,19,20,18,11,5,4,15,37,43,39,19,9,5,11,163,92,Mulher
119,230440005070058,1,39,44,46,24,8,15,19,26,35,34,20,8,13,15,151,195,Homem
120,230440005070059,1,19,26,27,13,5,13,12,22,25,12,10,8,7,13,97,115,Homem
121,230440005070060,1,12,16,17,6,8,5,11,15,22,14,9,9,2,14,85,75,Mulher
122,230440005070061,1,31,32,18,19,5,8,36,20,37,33,19,13,12,11,145,149,Homem
123,230440005070273,1,12,9,18,9,6,4,20,13,26,14,8,3,4,13,81,78,Mulher
124,230440005070274,1,10,12,12,9,3,3,2,5,6,8,3,2,0,2,26,51,Homem
125,230440005070275,1,28,53,48,28,6,5,7,38,29,22,9,3,5,17,123,175,Homem
126,230440005070276,1,16,19,12,14,2,3,5,33,30,25,19,13,6,18,144,71,Mulher
127,230440005070277,1,25,33,23,15,10,5,9,31,27,19,16,4,8,11,116,120,Homem
128,230440005070278,1,19,17,21,11,4,2,9,12,27,11,10,4,5,10,79,83,Homem
129,230440005070279,1,36,49,51,34,6,2,15,30,23,21,6,2,2,14,98,193,Homem
130,230440005070280,1,14,16,24,11,7,7,6,10,19,8,8,3,1,9,58,85,Homem
131,230440005070281,1,16,25,37,13,3,7,10,26,23,31,14,4,1,17,116,111,Mulher
132,230440005070282,1,24,29,30,18,10,4,4,14,22,21,8,3,3,8,79,119,Homem
133,230440005070283,1,30,51,36,13,7,4,7,45,46,44,13,4,6,13,171,148,Mulher
134,230440005070284,1,25,39,37,20,5,4,11,39,44,14,21,1,10,17,146,141,Mulher
135,230440005070285,1,17,23,23,8,8,4,3,21,16,23,8,3,7,9,87,86,Mulher
136,230440005070286,1,11,13,18,10,9,8,8,15,17,11,10,4,7,6,70,77,Homem
137,230440005070287,1,64,62,40,19,6,9,28,42,34,18,12,8,15,21,150,228,Homem
138,230440005070288,1,42,43,52,28,6,2,21,24,31,18,6,6,8,6,99,194,Homem
139,230440005070289,1,18,42,47,23,15,5,6,33,35,35,26,17,12,7,165,156,Mulher
140,230440005070290,1,7,29,47,16,5,0,1,9,15,40,17,9,1,4,95,105,Homem
141,230440005070291,1,33,43,41,24,6,8,15,35,24,15,14,8,17,17,130,170,Homem
142,230440005070292,1,26,28,40,15,4,8,11,25,26,14,10,2,5,16,98,132,Homem
143,230440005070293,1,25,30,25,8,6,1,7,18,24,16,7,2,1,14,82,102,Homem
144,230440005070294,1,35,20,29,15,3,4,37,41,44,37,14,9,9,15,169,143,Mulher
145,230440005070295,1,26,25,13,15,2,0,28,16,18,11,3,5,3,5,61,109,Homem
146,230440005070296,1,34,33,41,20,6,4,10,18,24,25,15,6,7,12,107,148,Homem
147,230440005070297,1,25,49,35,13,9,11,13,25,26,19,12,17,10,14,123,155,Homem
148,230440005070298,1,13,33,29,18,8,3,6,20,20,19,14,3,5,12,93,110,Homem
149,230440005070299,1,32,42,27,18,10,4,10,19,23,12,10,6,13,13,96,143,Homem
150,230440005070300,1,26,44,54,20,4,4,16,36,41,26,12,5,9,19,148,168,Homem
151,230440005070301,1,14,15,16,8,1,2,10,25,28,22,13,3,5,10,106,66,Mulher
152,230440005070302,1,28,21,29,10,4,2,11,25,36,18,4,3,0,20,106,105,Mulher
153,230440005070303,1,33,46,28,16,2,3,10,44,36,23,12,5,7,15,142,138,Mulher
154,230440005070304,1,23,34,23,19,11,3,23,31,40,26,17,9,8,17,148,136,Mulher
155,230440005070305,1,24,25,18,12,3,3,9,27,37,26,20,15,14,6,145,94,Mulher
156,230440005070306,1,15,18,15,8,3,0,9,12,15,16,7,1,2,6,59,68,Homem
157,230440005070307,1,31,34,38,22,14,9,13,40,27,26,21,12,11,17,154,161,Homem
158,230440005070308,1,11,25,17,12,8,1,6,21,32,20,16,8,7,10,114,80,Mulher
159,230440005070309,1,2,8,81,62,14,3,1,1,5,27,29,2,1,1,66,171,Homem
160,230440005070310,1,24,37,28,15,5,9,7,18,17,21,13,7,10,7,93,125,Homem
161,230440005070311,1,24,26,21,10,6,4,11,32,22,17,6,3,2,23,105,102,Mulher
162,230440005070312,1,1,15,9,3,0,2,5,5,8,2,0,1,1,5,22,35,Homem
163,230440005070313,1,16,22,16,12,3,1,6,28,33,29,19,6,7,14,136,76,Mulher
164,230440005070314,1,10,8,6,3,3,3,3,4,8,10,4,4,4,4,38,36,Mulher
165,230440005070315,1,20,24,27,16,5,8,14,32,28,20,14,11,12,10,127,114,Mulher
166,230440005070316,1,6,24,8,7,5,5,3,9,13,6,5,4,5,3,45,58,Homem
167,230440005070317,1,17,27,25,11,4,1,9,32,35,24,17,8,7,17,140,94,Mulher
168,230440005070318,1,26,52,25,12,12,8,15,29,41,33,22,11,11,8,155,150,Mulher
169,230440005070319,1,13,23,17,8,5,5,13,20,25,11,16,11,13,5,101,84,Mulher
170,230440005070320,1,21,26,23,14,10,4,24,32,34,34,17,8,10,13,148,122,Mulher
171,230440005070321,1,15,21,23,19,9,6,5,27,22,14,17,12,9,6,107,98,Mulher
172,230440005070322,1,21,22,21,10,3,5,28,23,21,13,7,7,8,15,94,110,Homem
173,230440005070323,1,22,31,25,15,4,11,11,31,41,26,11,6,9,9,133,119,Mulher
174,230440005070324,1,8,20,6,5,4,5,5,13,12,13,8,4,2,5,57,53,Mulher
175,230440005070325,1,22,28,33,19,4,9,17,21,34,27,16,5,12,12,127,132,Homem
176,230440005070326,1,21,37,34,15,12,12,9,15,26,17,15,5,19,4,101,140,Homem
177,230440005070327,1,9,14,17,14,3,2,7,19,28,20,18,8,8,7,108,66,Mulher
178,230440005070328,1,8,14,24,15,4,6,11,13,14,12,15,3,17,5,79,82,Homem
179,230440005070329,1,8,17,16,10,1,3,4,8,9,14,4,1,3,7,46,59,Homem
180,230440005070330,1,13,29,36,9,7,10,17,34,35,25,21,12,13,14,154,121,Mulher
181,230440005070331,1,24,38,43,15,6,6,22,19,37,17,11,6,7,13,110,154,Homem
182,230440005070332,1,23,34,35,12,2,1,17,18,28,11,5,1,2,15,80,124,Homem
183,230440005070333,1,23,19,23,13,11,8,5,18,25,10,13,1,2,11,80,102,Homem
184,230440005070334,1,27,41,44,19,3,5,25,43,42,35,9,4,6,15,154,164,Homem
185,230440005070335,1,19,21,31,11,4,9,17,25,31,24,15,8,11,11,125,112,Mulher
186,230440005070336,1,8,13,21,5,5,2,9,14,28,18,9,10,9,5,93,63,Mulher
187,230440005070337,1,19,38,40,23,8,7,17,24,32,26,14,8,9,19,132,152,Homem
188,230440005070338,1,12,17,26,11,6,9,6,11,16,26,12,9,11,6,91,87,Mulher
189,230440005070339,1,4,11,9,5,2,4,5,6,18,17,8,2,5,1,57,40,Mulher
190,230440005070340,1,16,21,27,16,4,13,9,20,34,19,13,8,19,5,118,106,Mulher
191,230440005070341,1,22,23,21,12,6,7,6,23,12,7,11,9,5,5,72,97,Homem
192,230440005070342,1,7,23,23,9,3,2,14,17,13,16,9,4,9,13,81,81,Mulher
193,230440005070343,1,17,22,11,5,2,2,16,28,39,28,21,10,15,9,150,75,Mulher
194,230440005070344,1,31,52,39,20,16,15,15,34,38,20,14,9,21,8,144,188,Homem
195,230440005070345,1,19,24,28,15,18,7,16,11,18,11,9,6,5,11,71,127,Homem
196,230440005070519,1,13,34,26,16,3,3,6,25,29,19,16,4,3,10,106,101,Mulher
197,230440005070520,1,30,41,24,15,7,6,12,28,22,10,14,4,6,7,91,135,Homem
198,230440005070521,1,31,64,51,12,7,12,17,30,31,22,12,6,3,27,131,194,Homem
199,230440005070522,1,39,42,32,27,10,8,27,35,31,32,12,11,10,11,142,185,Homem
200,230440005070523,1,20,27,14,13,6,5,21,54,64,51,26,12,9,19,235,106,Mulher
201,230440005070524,1,9,22,7,7,3,0,6,15,18,29,9,5,7,5,88,54,Mulher
202,230440005070525,1,5,14,9,7,3,2,2,7,9,5,2,4,2,3,32,42,Homem
203,230440005070526,1,8,13,15,5,2,1,3,12,8,6,4,2,0,7,39,47,Homem
204,230440005070527,1,11,28,34,11,6,1,6,22,30,22,13,7,6,9,109,97,Mulher
205,230440005070528,1,14,25,24,20,8,5,11,28,24,10,7,3,8,10,90,107,Homem
206,230440005070529,1,21,19,30,25,13,8,4,18,20,21,11,3,4,3,80,120,Homem
207,230440005070530,1,16,35,35,17,4,5,15,21,23,5,7,1,10,9,76,127,Homem
208,230440005070531,1,28,47,30,14,3,7,13,26,19,13,7,2,3,14,84,142,Homem
209,230440005070532,1,15,26,28,10,3,6,15,21,29,27,16,6,8,13,120,103,Mulher
210,230440005070533,1,10,16,14,5,5,5,10,17,29,33,16,11,16,4,126,65,Mulher
211,230440005070534,1,19,26,15,7,3,1,9,32,39,22,11,7,10,12,133,80,Mulher
212,230440005070535,1,24,35,39,18,4,5,19,16,35,14,13,4,4,3,89,144,Homem
213,230440005070536,1,30,20,29,14,6,7,16,33,21,20,11,7,1,12,105,122,Homem
214,230440005070537,1,11,18,16,6,7,2,5,33,38,27,9,2,0,22,131,65,Mulher
215,230440005070538,1,20,29,34,25,2,1,6,27,23,20,4,4,0,11,89,117,Homem
216,230440005070539,1,5,19,19,10,6,3,2,19,22,15,11,5,2,3,77,64,Mulher
217,230440005070540,1,22,28,31,21,10,7,5,24,22,20,12,7,15,10,110,124,Homem
218,230440005070541,1,2,9,7,10,4,2,3,12,12,8,3,1,0,3,39,37,Mulher
219,230440005070542,1,15,22,15,8,6,2,5,19,15,17,8,8,8,5,80,73,Mulher
220,230440005070543,1,3,7,16,9,8,4,0,0,12,11,7,2,1,1,34,47,Homem
221,230440005070544,1,10,15,19,11,3,2,5,15,15,7,5,3,2,3,50,65,Homem
222,230440005070545,1,40,56,64,36,16,4,11,31,35,17,10,5,6,12,116,227,Homem
223,230440005070546,1,28,48,34,21,11,7,15,21,24,23,7,0,3,7,85,164,Homem
224,230440005070547,1,29,55,46,20,7,11,13,32,23,30,18,6,11,16,136,181,Homem
225,230440005070548,1,28,52,41,18,14,5,11,34,47,28,12,8,5,25,159,169,Homem
226,230440005070549,1,18,18,20,12,1,6,5,9,20,14,6,3,3,6,61,80,Homem
227,230440005070550,1,32,24,38,12,12,7,20,23,20,8,13,5,8,17,94,145,Homem
228,230440005070551,1,14,23,11,9,4,5,6,26,52,53,27,18,16,10,202,72,Mulher
229,230440005070552,1,14,21,23,19,3,3,5,16,18,18,16,2,6,3,79,88,Homem
230,230440005070553,1,18,28,26,13,7,6,12,22,25,16,9,5,14,6,97,110,Homem
231,230440005070554,1,17,17,27,17,1,4,11,10,18,17,9,2,4,7,67,94,Homem
232,230440005070555,1,11,29,22,14,6,3,3,21,14,13,10,5,7,5,75,88,Homem
233,230440005070556,1,18,36,16,9,9,6,3,23,17,17,8,10,7,1,83,97,Homem
234,230440005070557,1,11,17,18,6,3,5,17,26,39,37,16,9,10,10,147,77,Mulher
235,230440005070558,1,25,20,29,21,6,5,14,28,31,25,22,5,7,13,131,120,Mulher
236,230440005070559,1,34,39,26,10,5,3,16,40,22,32,9,9,6,11,129,133,Homem
237,230440005070560,1,19,22,11,5,4,4,14,38,51,46,28,13,17,15,208,79,Mulher
238,230440005070561,1,24,40,36,21,8,4,9,20,23,19,15,4,8,6,95,142,Homem
239,230440005070562,1,30,47,45,21,8,1,7,36,37,27,15,5,8,20,148,159,Homem
240,230440005070563,1,22,25,24,18,4,7,6,21,20,19,9,8,3,6,86,106,Homem
241,230440005070564,1,20,21,28,12,6,6,7,36,40,21,13,2,6,11,129,100,Mulher
242,230440005070565,1,16,19,21,7,3,0,3,12,13,8,3,0,1,1,38,69,Homem
243,230440005070566,1,19,15,17,7,4,4,13,33,46,42,21,9,15,17,183,79,Mulher
244,230440005070567,1,24,18,22,11,4,8,22,21,29,13,3,5,4,19,94,109,Homem
245,230440005070568,1,18,41,36,21,2,4,8,32,43,13,19,5,7,16,135,130,Mulher
246,230440005070569,1,10,17,16,13,2,7,3,21,40,23,29,10,8,11,142,68,Mulher
247,230440005070570,1,21,36,32,12,11,8,12,25,29,34,17,10,17,4,136,132,Mulher
248,230440005070571,1,4,9,13,5,1,2,2,4,13,6,0,3,2,5,33,36,Homem
249,230440005070572,1,39,46,52,27,13,3,11,28,27,24,16,4,3,13,115,191,Homem
250,230440005070573,1,37,52,48,14,9,7,12,30,20,16,7,4,5,12,94,179,Homem
251,230440005070574,1,18,19,13,10,2,6,6,38,25,35,20,6,6,13,143,74,Mulher
252,230440005070575,1,29,29,29,16,7,7,10,39,38,23,8,13,4,13,138,127,Mulher
253,230440005070576,1,35,51,51,19,6,5,16,26,23,28,12,7,7,20,123,183,Homem
254,230440005070577,1,20,24,31,16,12,10,6,28,23,30,14,6,5,8,114,119,Homem
255,230440005070578,1,14,22,18,10,5,2,7,32,25,29,13,6,12,10,127,78,Mulher
256,230440005070579,1,35,47,65,26,10,9,14,34,34,26,14,4,8,12,132,206,Homem
257,230440005070580,1,10,16,14,16,3,9,7,11,9,9,10,4,10,2,55,75,Homem
258,230440005070581,1,10,19,16,9,0,4,6,20,21,7,3,2,4,6,63,64,Homem
259,230440005070582,1,31,57,57,22,8,7,11,22,31,20,13,6,10,15,117,193,Homem
260,230440005070583,1,22,44,39,13,12,10,6,22,18,15,11,2,7,8,83,146,Homem
261,230440005070584,1,19,29,32,12,4,8,4,16,18,12,11,6,7,3,73,108,Homem
262,230440005070585,1,20,26,20,15,5,3,11,19,14,16,16,7,4,8,84,100,Homem
263,230440005070586,1,18,24,18,13,11,7,15,35,43,37,34,19,18,11,197,106,Mulher
264,230440005070587,1,14,29,32,16,6,4,9,20,21,30,10,14,24,5,124,110,Mulher
265,230440005070588,1,2,1,2,4,2,3,2,2,0,2,2,1,4,1,12,16,Homem
266,230440005070589,1,13,11,14,13,3,6,17,31,43,30,25,13,23,5,170,77,Mulher
267,230440005070590,1,14,22,20,18,7,5,5,22,27,18,15,11,10,15,118,91,Mulher
268,230440005070591,1,18,25,26,15,12,17,4,14,26,23,14,8,13,8,106,117,Homem
269,230440005070592,1,25,37,51,28,8,5,21,35,44,34,23,15,10,12,173,175,Homem
270,230440005070593,1,28,37,29,16,1,6,9,29,30,24,9,3,10,13,118,126,Homem
271,230440005070594,1,23,23,18,12,4,3,13,27,27,25,11,5,8,12,115,96,Mulher
272,230440005070595,1,18,35,37,23,8,4,10,31,26,20,12,7,10,14,120,135,Homem
273,230440005070596,1,4,11,8,7,1,0,4,16,18,6,4,5,1,4,54,35,Mulher
274,230440005070597,1,11,23,29,16,4,6,8,31,37,26,12,5,4,11,126,97,Mulher
275,230440005070598,1,18,12,7,7,3,4,13,39,40,26,12,7,6,14,144,64,Mulher
276,230440005070599,1,18,35,17,8,2,3,13,21,23,15,10,4,0,9,82,96,Homem
277,230440005070600,1,14,32,28,16,11,3,10,20,19,11,16,6,4,5,81,114,Homem
278,230440005070601,1,7,10,14,6,6,3,4,21,25,20,19,16,12,5,118,50,Mulher
279,230440005070602,1,16,32,21,13,9,7,9,22,27,23,15,8,7,11,113,107,Mulher
280,230440005070603,1,37,40,34,18,9,10,16,31,36,19,17,12,15,6,136,164,Homem
281,230440005070604,1,11,19,20,11,7,6,1,11,25,25,9,8,6,3,87,75,Mulher
282,230440005070605,1,19,14,25,10,6,4,11,24,31,23,15,9,11,7,120,89,Mulher
283,230440005070606,1,14,16,10,8,2,0,11,26,35,43,12,7,11,2,136,61,Mulher
284,230440005070702,1,22,32,28,22,10,3,16,27,27,31,18,9,10,9,131,133,Homem
285,230440005070703,1,32,45,45,18,5,8,9,31,21,22,15,7,4,8,108,162,Homem
286,230440005070704,1,19,30,22,12,7,5,7,23,22,13,3,6,4,11,82,102,Homem
287,230440005070705,1,42,60,42,21,7,8,27,48,31,15,15,5,4,27,145,207,Homem
288,230440005070706,1,39,53,44,30,6,5,17,37,34,25,8,6,3,23,136,194,Homem
289,230440005070707,1,10,27,26,7,7,7,2,20,20,12,3,3,2,8,68,86,Homem
290,230440005070708,1,7,17,12,7,6,4,9,14,11,25,20,7,5,3,85,62,Mulher
291,230440005070709,1,5,16,16,10,0,3,4,18,8,13,5,7,6,7,64,54,Mulher
292,230440005070710,1,32,50,50,27,13,14,28,32,36,39,18,11,20,6,162,214,Homem
293,230440005070711,1,28,41,24,20,5,11,15,31,29,26,16,6,7,8,123,144,Homem
294,230440005070712,1,12,22,36,9,6,3,16,15,18,13,10,7,10,6,79,104,Homem
295,230440005070713,1,13,27,33,16,13,11,10,24,29,19,19,10,13,7,121,123,Homem
296,230440005070714,1,23,28,25,10,8,10,18,23,21,24,16,6,6,13,109,122,Homem
297,230440005070715,1,30,42,30,18,5,7,15,25,33,15,17,3,9,13,115,147,Homem
298,230440005070716,1,15,10,16,4,1,4,3,8,6,21,11,4,2,4,56,53,Mulher
299,230440005070717,1,20,32,28,13,9,2,7,14,20,12,10,5,5,5,71,111,Homem
300,230440005070718,1,16,17,20,5,1,1,7,8,6,11,1,0,1,5,32,67,Homem
