"key","position","name"
"conf/aaai/AdibiCMV04",0,"Jafar Adibi"
"conf/aaai/AdibiCMV04",1,"Hans Chalupsky"
"conf/aaai/AdibiCMV04",2,"Eric Melz"
"conf/aaai/AdibiCMV04",3,"André Valente"
"conf/aaai/AdigaKMV13",0,"Abhijin Adiga"
"conf/aaai/AdigaKMV13",1,"Chris J. Kuhlman"
"conf/aaai/AdigaKMV13",2,"Henning S. Mortveit"
"conf/aaai/AdigaKMV13",3,"Anil Kumar S. Vullikanti"
"conf/aaai/AdigaV16",0,"Abhijin Adiga"
"conf/aaai/AdigaV16",1,"Anil Vullikanti"
"conf/aaai/Adler10",0,"Aaron Daniel Adler"
"conf/aaai/AdlerYBCMM13",0,"Aaron Adler"
"conf/aaai/AdlerYBCMM13",1,"Fusun Yaman"
"conf/aaai/AdlerYBCMM13",2,"Jacob Beal"
"conf/aaai/AdlerYBCMM13",3,"Jeffrey Cleveland"
"conf/aaai/AdlerYBCMM13",4,"Hala Mostafa"
"conf/aaai/AdlerYBCMM13",5,"Annan Mozeika"
"conf/aaai/AdulyasakVAJ15",0,"Yossiri Adulyasak"
"conf/aaai/AdulyasakVAJ15",1,"Pradeep Varakantham"
"conf/aaai/AdulyasakVAJ15",2,"Asrar Ahmed"
"conf/aaai/AdulyasakVAJ15",3,"Patrick Jaillet"
"conf/aaai/AfsharSA15",0,"Hadi Mohasel Afshar"
"conf/aaai/AfsharSA15",1,"Scott Sanner"
"conf/aaai/AfsharSA15",2,"Ehsan Abbasnejad"
"conf/aaai/AfsharSW16",0,"Hadi Mohasel Afshar"
"conf/aaai/AfsharSW16",1,"Scott Sanner"
"conf/aaai/AfsharSW16",2,"Christfried Webers"
"conf/aaai/AgarwalCDKKKMMS05",0,"Vikas Agarwal"
"conf/aaai/AgarwalCDKKKMMS05",1,"Girish Chafle"
"conf/aaai/AgarwalCDKKKMMS05",2,"Koustuv Dasgupta"
"conf/aaai/AgarwalCDKKKMMS05",3,"Neeran M. Karnik"
"conf/aaai/AgarwalCDKKKMMS05",4,"Arun Kumar"
"conf/aaai/AgarwalCDKKKMMS05",5,"Ashish Kundu"
"conf/aaai/AgarwalCDKKKMMS05",6,"Anupam Mediratta"
"conf/aaai/AgarwalCDKKKMMS05",7,"Sumit Mittal"
"conf/aaai/AgarwalCDKKKMMS05",8,"Biplav Srivastava"
"conf/aaai/AggourC05",0,"Kareem S. Aggour"
"conf/aaai/AggourC05",1,"William Cheetham"
"conf/aaai/AghighiJ14",0,"Meysam Aghighi"
"conf/aaai/AghighiJ14",1,"Peter Jonsson"
"conf/aaai/AghighiJS15",0,"Meysam Aghighi"
"conf/aaai/AghighiJS15",1,"Peter Jonsson"
"conf/aaai/AghighiJS15",2,"Simon Ståhlberg"
"conf/aaai/AgmonKK05",0,"Noa Agmon"
"conf/aaai/AgmonKK05",1,"Gal A. Kaminka"
"conf/aaai/AgmonKK05",2,"Sarit Kraus"
"conf/aaai/AgmonS11",0,"Noa Agmon"
"conf/aaai/AgmonS11",1,"Peter Stone"
"conf/aaai/AgmonUS11",0,"Noa Agmon"
"conf/aaai/AgmonUS11",1,"Daniel Urieli"
"conf/aaai/AgmonUS11",2,"Peter Stone"
"conf/aaai/AgoginoT06",0,"Adrian K. Agogino"
"conf/aaai/AgoginoT06",1,"Kagan Tumer"
"conf/aaai/AguirreLGTEK11",0,"Oswaldo Aguirre"
"conf/aaai/AguirreLGTEK11",1,"Nicolas Lopez"
"conf/aaai/AguirreLGTEK11",2,"Eric Gutierrez"
"conf/aaai/AguirreLGTEK11",3,"Heidi A. Taboada"
"conf/aaai/AguirreLGTEK11",4,"Jose Epiritu"
"conf/aaai/AguirreLGTEK11",5,"Christopher Kiekintveld"
"conf/aaai/AgussurjaLC16",0,"Lucas Agussurja"
"conf/aaai/AgussurjaLC16",1,"Hoong Chuin Lau"
"conf/aaai/AgussurjaLC16",2,"Shih-Fen Cheng"
"conf/aaai/AhmadHWTPS10",0,"Muhammad Aurangzeb Ahmad"
"conf/aaai/AhmadHWTPS10",1,"David A. Huffaker"
"conf/aaai/AhmadHWTPS10",2,"Jing Wang"
"conf/aaai/AhmadHWTPS10",3,"Jeffrey William Treem"
"conf/aaai/AhmadHWTPS10",4,"Marshall Scott Poole"
"conf/aaai/AhmadHWTPS10",5,"Jaideep Srivastava"
"conf/aaai/AhmadiKN13",0,"Babak Ahmadi"
"conf/aaai/AhmadiKN13",1,"Kristian Kersting"
"conf/aaai/AhmadiKN13",2,"Sriraam Natarajan"
"conf/aaai/AhmadinejadDHLM16",0,"AmirMahdi Ahmadinejad"
"conf/aaai/AhmadinejadDHLM16",1,"Sina Dehghani"
"conf/aaai/AhmadinejadDHLM16",2,"MohammadTaghi Hajiaghayi"
"conf/aaai/AhmadinejadDHLM16",3,"Brendan Lucier"
"conf/aaai/AhmadinejadDHLM16",4,"Hamid Mahini"
"conf/aaai/AhmadinejadDHLM16",5,"Saeed Seddighin"
"conf/aaai/AhmadiS06",0,"Mazda Ahmadi"
"conf/aaai/AhmadiS06",1,"Peter Stone"
"conf/aaai/AhmadiS06a",0,"Mazda Ahmadi"
"conf/aaai/AhmadiS06a",1,"Peter Stone"
"conf/aaai/AhmadKSWSC11",0,"Muhammad Aurangzeb Ahmad"
"conf/aaai/AhmadKSWSC11",1,"Brian Keegan"
"conf/aaai/AhmadKSWSC11",2,"Sophia Sullivan"
"conf/aaai/AhmadKSWSC11",3,"Dmitri Williams"
"conf/aaai/AhmadKSWSC11",4,"Jaideep Srivastava"
"conf/aaai/AhmadKSWSC11",5,"Noshir S. Contractor"
"conf/aaai/AhmedCG15",0,"Umair Z. Ahmed"
